,,,,,,,,,
,,,,,,,,,
OrderID,StoreID,SupplierID,OrderDate,ExpectedDeliveryDate,TotalAmount,Status,ContactEmail,ContactPhone,ContactName
SP788153,102,29,04.06.2023,09.06.2023,74511,Pending,contact@silpo.ua,380598262045,Yevhen Pekar
SP241832,191,54,26.05.2024,30.05.2024,49357,Shipped,contact@silpo.ua,380692322602,Anastasiia Pekar
SP548321,300,106,23.05.2024,01.06.2024,23866,Shipped,contact@silpo.ua,380160733754,Sofia Kovalenko
SP438651,157,7,31.01.2024,13.02.2024,46025,Delivered,contact@silpo.ua,380145868501,Yevhen Shapoval
SP387241,248,68,20.03.2023,24.03.2023,59959,Delivered,contact@silpo.ua,380569816934,Olha Bondarenko
SP657239,100,134,08.02.2024,20.02.2024,59531,Pending,contact@silpo.ua,380595148465,Karina Bondarenko
SP510016,241,33,28.01.2024,11.02.2024,52695,Shipped,contact@silpo.ua,380299468044,Nadiia Petrenko
SP808158,255,168,21.10.2024,05.11.2024,60905,Delivered,contact@silpo.ua,380387214895,Serhii Havrylov
SP987625,160,173,27.09.2024,05.10.2024,29100,Pending,contact@silpo.ua,380037917693,Anastasiia Bondarenko
SP602630,226,103,14.05.2024,19.05.2024,3726,Shipped,contact@silpo.ua,380163287083,Yevhen Havrylov
SP327253,216,35,09.08.2025,26.08.2025,76259,Delivered,contact@silpo.ua,380798687277,Olena Kovalenko
SP459249,263,71,03.12.2025,19.12.2025,34358,Delivered,contact@silpo.ua,380143455812,Mykhailo Koval
SP601641,277,40,14.03.2024,17.03.2024,57377,Delivered,contact@silpo.ua,380876036690,Sofia Pekar
SP803655,197,123,13.01.2023,25.01.2023,42139,Shipped,contact@silpo.ua,380688937346,Denys Shevchenko
SP607746,186,172,08.04.2025,14.04.2025,64261,Cancelled,contact@silpo.ua,380980699016,Mykhailo Havrylov
SP684125,146,13,16.06.2024,29.06.2024,45906,Delivered,contact@silpo.ua,380556464170,Anastasiia Mazur
SP254615,189,58,21.05.2023,23.05.2023,7067,Cancelled,contact@silpo.ua,380309232719,Nadiia Havrylenko
SP933442,165,197,25.01.2025,31.01.2025,18012,Shipped,contact@silpo.ua,380241904966,Anastasiia Koval
SP279688,251,177,12.05.2024,16.05.2024,42529,Shipped,contact@silpo.ua,380919058651,Iryna Kovalchuk
SP557806,103,108,30.09.2025,04.10.2025,59822,Cancelled,contact@silpo.ua,380726284987,Denys Petrenko
SP966536,251,69,22.10.2024,30.10.2024,14359,Delivered,contact@silpo.ua,380737996507,Sofia Lysenko
SP390672,224,55,27.12.2024,05.01.2025,47608,Delivered,contact@silpo.ua,380948083136,Denys Mazur
SP994993,161,177,02.09.2025,18.09.2025,61743,Shipped,contact@silpo.ua,380143634957,Iryna Mazur
SP560455,208,191,08.11.2024,20.11.2024,62473,Delivered,contact@silpo.ua,380431351823,Nadiia Bondarenko
SP707719,170,186,10.12.2025,30.12.2025,40093,Cancelled,contact@silpo.ua,380343524082,Olena Shevchenko
SP257174,241,75,16.09.2023,02.10.2023,16446,Shipped,contact@silpo.ua,380947775204,Sofia Havrylenko
SP319629,116,103,04.10.2025,07.10.2025,78631,Delivered,contact@silpo.ua,380022941318,Vadym Petrenko
SP835770,252,159,07.04.2024,24.04.2024,52856,Delivered,contact@silpo.ua,380749649909,Anastasiia Tkachenko
SP999787,153,161,08.03.2024,17.03.2024,13641,Pending,contact@silpo.ua,380281206797,Olena Shevchenko
SP442720,173,181,02.08.2024,17.08.2024,12329,Shipped,contact@silpo.ua,380493618324,Sofia Bondar
SP274878,115,43,21.09.2024,11.10.2024,77607,Cancelled,contact@silpo.ua,380717464887,Denys Tkachenko
SP827086,110,111,22.10.2024,11.11.2024,35816,Pending,contact@silpo.ua,380399049027,Iryna Kovalchuk
SP663711,171,47,11.06.2025,27.06.2025,14959,Delivered,contact@silpo.ua,380655125674,Kateryna Petrenko
SP997441,240,10,20.07.2025,23.07.2025,44224,Delivered,contact@silpo.ua,380168087603,Iryna Lysenko
SP852878,293,128,24.06.2025,26.06.2025,29680,Delivered,contact@silpo.ua,380247710932,Olena Mazur
SP214338,241,105,10.07.2023,18.07.2023,17871,Delivered,contact@silpo.ua,380127484677,Nadiia Havrylenko
SP778043,137,99,26.01.2024,15.02.2024,69616,Shipped,contact@silpo.ua,380214658404,Anastasiia Shapoval
SP815448,248,169,29.09.2025,04.10.2025,61529,Delivered,contact@silpo.ua,380558867533,Taras Petrenko
SP444907,298,106,31.03.2023,11.04.2023,64993,Shipped,contact@silpo.ua,380662702895,Sofia Tkachenko
SP661694,125,135,24.07.2025,25.07.2025,21894,Delivered,contact@silpo.ua,380217459615,Sofia Kovalchuk
SP759543,197,82,26.09.2025,14.10.2025,7705,Delivered,contact@silpo.ua,380343161172,Anastasiia Shapoval
SP230353,111,84,25.04.2023,05.05.2023,49984,Delivered,contact@silpo.ua,380238692221,Taras Havrylov
SP601126,258,175,08.05.2024,24.05.2024,79435,Pending,contact@silpo.ua,380747407482,Serhii Havrylenko
SP562351,250,77,18.05.2025,27.05.2025,62878,Shipped,contact@silpo.ua,380367136959,Olena Bondarenko
SP509571,105,169,21.03.2025,30.03.2025,4061,Delivered,contact@silpo.ua,380097439533,Taras Shapoval
SP910687,293,185,08.10.2023,12.10.2023,8167,Delivered,contact@silpo.ua,380709521456,Mykhailo Koval
SP338579,238,94,23.12.2025,09.01.2026,38720,Shipped,contact@silpo.ua,380474517123,Sofia Kovalchuk
SP959396,272,102,19.01.2025,22.01.2025,54717,Pending,contact@silpo.ua,380817549651,Kateryna Koval
SP694379,106,159,02.11.2024,22.11.2024,32015,Delivered,contact@silpo.ua,380746120047,Serhii Tkachenko
SP446205,237,35,06.03.2025,21.03.2025,51629,Shipped,contact@silpo.ua,380869261796,Olena Shevchenko
SP923811,194,56,27.06.2025,12.07.2025,33947,Shipped,contact@silpo.ua,380158506431,Sofia Havrylov
SP676805,123,170,10.03.2024,30.03.2024,5799,Pending,contact@silpo.ua,380532931839,Nadiia Havrylov
SP444316,184,199,30.10.2023,19.11.2023,3371,Delivered,contact@silpo.ua,380228421020,Oleksii Kovalenko
SP449489,250,83,02.02.2023,08.02.2023,37782,Pending,contact@silpo.ua,380681177589,Serhii Havrylenko
SP728313,156,158,30.03.2023,16.04.2023,42535,Delivered,contact@silpo.ua,380007661771,Yevhen Tkachenko
SP537758,255,38,15.05.2023,20.05.2023,39046,Delivered,contact@silpo.ua,380985698478,Taras Petrenko
SP303996,279,30,16.03.2024,30.03.2024,62186,Shipped,contact@silpo.ua,380657661565,Kateryna Shapoval
SP592483,139,176,29.08.2025,01.09.2025,14957,Shipped,contact@silpo.ua,380161528098,Iryna Lysenko
SP902559,131,106,25.12.2024,08.01.2025,9743,Cancelled,contact@silpo.ua,380945198327,Nadiia Havrylov
SP313475,189,143,22.01.2025,26.01.2025,39512,Delivered,contact@silpo.ua,380689980940,Mykhailo Shapoval
SP936833,295,80,26.11.2024,08.12.2024,3800,Pending,contact@silpo.ua,380296120183,Karina Petrenko
SP675682,187,41,27.01.2025,06.02.2025,45517,Shipped,contact@silpo.ua,380991022901,Olena Havrylenko
SP894093,208,125,24.06.2025,08.07.2025,38804,Delivered,contact@silpo.ua,380815614978,Kateryna Shapoval
SP247623,156,102,23.04.2023,24.04.2023,29794,Delivered,contact@silpo.ua,380324451076,Mykhailo Bondar
SP598676,236,181,16.04.2024,03.05.2024,76233,Shipped,contact@silpo.ua,380516060715,Taras Petrenko
SP801253,203,182,05.05.2025,15.05.2025,18096,Delivered,contact@silpo.ua,380529751613,Karina Klymenko
SP619902,234,21,21.03.2025,31.03.2025,47500,Delivered,contact@silpo.ua,380218188355,Anastasiia Havrylov
SP876796,137,61,30.07.2023,04.08.2023,36550,Pending,contact@silpo.ua,380921277997,Kateryna Pekar
SP791912,264,163,23.10.2024,03.11.2024,22786,Delivered,contact@silpo.ua,380774490581,Olena Havrylenko
SP673866,109,15,25.01.2025,04.02.2025,13057,Delivered,contact@silpo.ua,380199867980,Denys Pekar
SP799425,266,49,20.10.2024,09.11.2024,65341,Delivered,contact@silpo.ua,380071518203,Anastasiia Havrylenko
SP660767,234,134,22.11.2023,04.12.2023,51870,Cancelled,contact@silpo.ua,380665905151,Iryna Kovalchuk
SP605341,172,65,04.11.2023,15.11.2023,13682,Delivered,contact@silpo.ua,380254629148,Karina Kovalchuk
SP544432,132,172,14.12.2025,17.12.2025,58496,Delivered,contact@silpo.ua,380054235733,Mykhailo Bondar
SP280913,175,26,05.11.2025,23.11.2025,72013,Pending,contact@silpo.ua,380592962229,Vadym Pekar
SP373580,284,113,31.03.2023,14.04.2023,50749,Shipped,contact@silpo.ua,380379473834,Vadym Kovalenko
SP691798,149,95,21.06.2025,06.07.2025,39932,Shipped,contact@silpo.ua,380886239240,Kateryna Havrylenko
SP589244,241,27,22.11.2025,26.11.2025,40363,Pending,contact@silpo.ua,380247826137,Yevhen Lysenko
